X,Y,Z,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text,OGR_STYLE,,,,
49445.00022,-22250.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2200,,PEN(c:#c6b0bc),,,,
48720.00022,-21350.00004,0,e-elevator,,AcDbEntity:AcDbMText,ByBlock,2201,E/V,"LABEL(f:""Dotum"",t:""E/V"",s:500g,p:5,c:#c6b0bc)",,,,
49445.00022,-24850.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2202,,PEN(c:#c6b0bc),,,,
47995.00022,-24850.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2202,,PEN(c:#c6b0bc),,,,
47995.00022,-23050.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2202,,PEN(c:#c6b0bc),,,,
49445.00022,-23050.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2202,,PEN(c:#c6b0bc),,,,
49445.00022,-24850.00004,0,e-elevator,,AcDbEntity:AcDbPolyline,ByBlock,2202,,PEN(c:#c6b0bc),,,,
48720.00022,-23950.00004,0,e-elevator,,AcDbEntity:AcDbMText,ByBlock,2203,E/V,"LABEL(f:""Dotum"",t:""E/V"",s:500g,p:5,c:#c6b0bc)",,,,
64549.99987,-30150,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2204,,PEN(c:#bf9bde),,,,
64549.99987,-27550,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2204,,PEN(c:#bf9bde),,,,
59349.99987,-27550,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2204,,PEN(c:#bf9bde),,,,
59349.99987,-30150,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2204,,PEN(c:#bf9bde),,,,
64549.99987,-30150,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2204,,PEN(c:#bf9bde),,,,
64549.99987,-32750,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2206,,PEN(c:#bf9bde),,,,
64549.99987,-30150,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2206,,PEN(c:#bf9bde),,,,
59349.99987,-30150,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2206,,PEN(c:#bf9bde),,,,
59349.99987,-32750,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2206,,PEN(c:#bf9bde),,,,
64549.99987,-32750,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2206,,PEN(c:#bf9bde),,,,
64549.99987,-35350,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2207,,PEN(c:#bf9bde),,,,
64549.99987,-32750,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2207,,PEN(c:#bf9bde),,,,
59349.99987,-32750,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2207,,PEN(c:#bf9bde),,,,
59349.99987,-35350,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2207,,PEN(c:#bf9bde),,,,
64549.99987,-35350,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2207,,PEN(c:#bf9bde),,,,
64550,-24450.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2208,,PEN(c:#bf9bde),,,,
64550,-21850.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2208,,PEN(c:#bf9bde),,,,
59350,-21850.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2208,,PEN(c:#bf9bde),,,,
59350,-24450.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2208,,PEN(c:#bf9bde),,,,
64550,-24450.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2208,,PEN(c:#bf9bde),,,,
64550,-21850.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2209,,PEN(c:#bf9bde),,,,
64550,-19250.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2209,,PEN(c:#bf9bde),,,,
59350,-19250.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2209,,PEN(c:#bf9bde),,,,
59350,-21850.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2209,,PEN(c:#bf9bde),,,,
64550,-21850.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2209,,PEN(c:#bf9bde),,,,
64550,-38900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220B,,PEN(c:#bf9bde),,,,
64550,-36300.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220B,,PEN(c:#bf9bde),,,,
59350,-36300.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220B,,PEN(c:#bf9bde),,,,
59350,-38900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220B,,PEN(c:#bf9bde),,,,
64550,-38900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220B,,PEN(c:#bf9bde),,,,
64550,-41500.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220C,,PEN(c:#bf9bde),,,,
64550,-38900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220C,,PEN(c:#bf9bde),,,,
59350,-38900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220C,,PEN(c:#bf9bde),,,,
59350,-41500.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220C,,PEN(c:#bf9bde),,,,
64550,-41500.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220C,,PEN(c:#bf9bde),,,,
64550,-44100.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220D,,PEN(c:#bf9bde),,,,
64550,-41500.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220D,,PEN(c:#bf9bde),,,,
59350,-41500.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220D,,PEN(c:#bf9bde),,,,
59350,-44100.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220D,,PEN(c:#bf9bde),,,,
64550,-44100.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220D,,PEN(c:#bf9bde),,,,
64550,-11900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220E,,PEN(c:#bf9bde),,,,
64550,-9300.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220E,,PEN(c:#bf9bde),,,,
59350,-9300.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220E,,PEN(c:#bf9bde),,,,
59350,-11900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220E,,PEN(c:#bf9bde),,,,
64550,-11900.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220E,,PEN(c:#bf9bde),,,,
64550,-9300.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220F,,PEN(c:#bf9bde),,,,
64550,-6700.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220F,,PEN(c:#bf9bde),,,,
59350,-6700.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220F,,PEN(c:#bf9bde),,,,
59350,-9300.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220F,,PEN(c:#bf9bde),,,,
64550,-9300.000039,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,220F,,PEN(c:#bf9bde),,,,
55949.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2210,,PEN(c:#bf9bde),,,,
58549.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2210,,PEN(c:#bf9bde),,,,
58549.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2210,,PEN(c:#bf9bde),,,,
55949.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2210,,PEN(c:#bf9bde),,,,
55949.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2210,,PEN(c:#bf9bde),,,,
53349.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2211,,PEN(c:#bf9bde),,,,
55949.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2211,,PEN(c:#bf9bde),,,,
55949.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2211,,PEN(c:#bf9bde),,,,
53349.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2211,,PEN(c:#bf9bde),,,,
53349.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2211,,PEN(c:#bf9bde),,,,
49300,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2212,,PEN(c:#bf9bde),,,,
51900,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2212,,PEN(c:#bf9bde),,,,
51900,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2212,,PEN(c:#bf9bde),,,,
49300,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2212,,PEN(c:#bf9bde),,,,
49300,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2212,,PEN(c:#bf9bde),,,,
46700,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2213,,PEN(c:#bf9bde),,,,
49300,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2213,,PEN(c:#bf9bde),,,,
49300,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2213,,PEN(c:#bf9bde),,,,
46700,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2213,,PEN(c:#bf9bde),,,,
46700,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2213,,PEN(c:#bf9bde),,,,
42649.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2214,,PEN(c:#bf9bde),,,,
45249.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2214,,PEN(c:#bf9bde),,,,
45249.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2214,,PEN(c:#bf9bde),,,,
42649.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2214,,PEN(c:#bf9bde),,,,
42649.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2214,,PEN(c:#bf9bde),,,,
40049.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2215,,PEN(c:#bf9bde),,,,
42649.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2215,,PEN(c:#bf9bde),,,,
42649.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2215,,PEN(c:#bf9bde),,,,
40049.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2215,,PEN(c:#bf9bde),,,,
40049.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2215,,PEN(c:#bf9bde),,,,
37449.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2216,,PEN(c:#bf9bde),,,,
40049.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2216,,PEN(c:#bf9bde),,,,
40049.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2216,,PEN(c:#bf9bde),,,,
37449.99978,-44200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2216,,PEN(c:#bf9bde),,,,
37449.99978,-49400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2216,,PEN(c:#bf9bde),,,,
49300,-38199.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2217,,PEN(c:#bf9bde),,,,
51900,-38199.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2217,,PEN(c:#bf9bde),,,,
51900,-32999.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2217,,PEN(c:#bf9bde),,,,
49300,-32999.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2217,,PEN(c:#bf9bde),,,,
49300,-38199.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2217,,PEN(c:#bf9bde),,,,
46700,-38199.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2218,,PEN(c:#bf9bde),,,,
49300,-38199.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2218,,PEN(c:#bf9bde),,,,
49300,-32999.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2218,,PEN(c:#bf9bde),,,,
46700,-32999.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2218,,PEN(c:#bf9bde),,,,
46700,-38199.99903,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2218,,PEN(c:#bf9bde),,,,
42500,-38200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2219,,PEN(c:#bf9bde),,,,
45100,-38200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2219,,PEN(c:#bf9bde),,,,
45100,-33000.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2219,,PEN(c:#bf9bde),,,,
42500,-33000.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2219,,PEN(c:#bf9bde),,,,
42500,-38200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,2219,,PEN(c:#bf9bde),,,,
23349.99978,-41400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221A,,PEN(c:#bf9bde),,,,
23349.99978,-44000.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221A,,PEN(c:#bf9bde),,,,
28549.99978,-44000.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221A,,PEN(c:#bf9bde),,,,
28549.99978,-41400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221A,,PEN(c:#bf9bde),,,,
23349.99978,-41400.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221A,,PEN(c:#bf9bde),,,,
34849.99978,-30600.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221B,,PEN(c:#bf9bde),,,,
34849.99978,-33200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221B,,PEN(c:#bf9bde),,,,
40049.99978,-33200.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221B,,PEN(c:#bf9bde),,,,
40049.99978,-30600.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221B,,PEN(c:#bf9bde),,,,
34849.99978,-30600.00004,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221B,,PEN(c:#bf9bde),,,,
39149.99978,-12700.00014,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221C,,PEN(c:#bf9bde),,,,
41749.99978,-12700.00014,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221C,,PEN(c:#bf9bde),,,,
41749.99978,-7500.000144,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221C,,PEN(c:#bf9bde),,,,
39149.99978,-7500.000144,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221C,,PEN(c:#bf9bde),,,,
39149.99978,-12700.00014,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221C,,PEN(c:#bf9bde),,,,
36549.99978,-12700.00014,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221D,,PEN(c:#bf9bde),,,,
39149.99978,-12700.00014,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221D,,PEN(c:#bf9bde),,,,
39149.99978,-7500.000144,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221D,,PEN(c:#bf9bde),,,,
36549.99978,-7500.000144,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221D,,PEN(c:#bf9bde),,,,
36549.99978,-12700.00014,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221D,,PEN(c:#bf9bde),,,,
12620,-31999.99987,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221E,,PEN(c:#bf9bde),,,,
15220,-31999.99987,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221E,,PEN(c:#bf9bde),,,,
15220,-26799.99987,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221E,,PEN(c:#bf9bde),,,,
12620,-26799.99987,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221E,,PEN(c:#bf9bde),,,,
12620,-31999.99987,0,p-parking-large,,AcDbEntity:AcDbPolyline,ByBlock,221E,,PEN(c:#bf9bde),,,,
34849.99978,-24450.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,221F,,PEN(c:#8879fc),,,,
40049.99978,-24450.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,221F,,PEN(c:#8879fc),,,,
40049.99978,-21850.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,221F,,PEN(c:#8879fc),,,,
34849.99978,-21850.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,221F,,PEN(c:#8879fc),,,,
34849.99978,-24450.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,221F,,PEN(c:#8879fc),,,,
34849.99978,-21850.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2220,,PEN(c:#8879fc),,,,
40049.99978,-21850.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2220,,PEN(c:#8879fc),,,,
40049.99978,-19250.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2220,,PEN(c:#8879fc),,,,
34849.99978,-19250.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2220,,PEN(c:#8879fc),,,,
34849.99978,-21850.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2220,,PEN(c:#8879fc),,,,
34849.99978,-17900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2221,,PEN(c:#8879fc),,,,
40049.99978,-17900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2221,,PEN(c:#8879fc),,,,
40049.99978,-15300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2221,,PEN(c:#8879fc),,,,
34849.99978,-15300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2221,,PEN(c:#8879fc),,,,
34849.99978,-17900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2221,,PEN(c:#8879fc),,,,
34850.00122,-15300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2222,,PEN(c:#8879fc),,,,
40050.00122,-15300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2222,,PEN(c:#8879fc),,,,
40050.00122,-12700.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2222,,PEN(c:#8879fc),,,,
34850.00122,-12700.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2222,,PEN(c:#8879fc),,,,
34850.00122,-15300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2222,,PEN(c:#8879fc),,,,
23349.99978,-35500.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2223,,PEN(c:#8879fc),,,,
28549.99978,-35500.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2223,,PEN(c:#8879fc),,,,
28549.99978,-32900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2223,,PEN(c:#8879fc),,,,
23349.99978,-32900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2223,,PEN(c:#8879fc),,,,
23349.99978,-35500.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2223,,PEN(c:#8879fc),,,,
23349.99978,-32900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2224,,PEN(c:#8879fc),,,,
28549.99978,-32900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2224,,PEN(c:#8879fc),,,,
28549.99978,-30300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2224,,PEN(c:#8879fc),,,,
23349.99978,-30300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2224,,PEN(c:#8879fc),,,,
23349.99978,-32900.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2224,,PEN(c:#8879fc),,,,
23349.99978,-30300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2225,,PEN(c:#8879fc),,,,
28549.99978,-30300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2225,,PEN(c:#8879fc),,,,
28549.99978,-27700.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2225,,PEN(c:#8879fc),,,,
23349.99978,-27700.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2225,,PEN(c:#8879fc),,,,
23349.99978,-30300.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2225,,PEN(c:#8879fc),,,,
23349.99998,-32000.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2226,,PEN(c:#8879fc),,,,
23349.99998,-26800.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2226,,PEN(c:#8879fc),,,,
20749.99998,-26800.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2226,,PEN(c:#8879fc),,,,
20749.99998,-32000.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2226,,PEN(c:#8879fc),,,,
23349.99998,-32000.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2226,,PEN(c:#8879fc),,,,
20749.99998,-32000.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2227,,PEN(c:#8879fc),,,,
20749.99998,-26800.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2227,,PEN(c:#8879fc),,,,
18149.99998,-26800.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2227,,PEN(c:#8879fc),,,,
18149.99998,-32000.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2227,,PEN(c:#8879fc),,,,
20749.99998,-32000.00004,0,p-parking-large-women,,AcDbEntity:AcDbPolyline,ByBlock,2227,,PEN(c:#8879fc),,,,
64350,-18050,0,p-parking-basic,,AcDbEntity:AcDbPolyline,ByBlock,2228,,PEN(c:#ffd700),,,,
64350,-15550,0,p-parking-basic,,AcDbEntity:AcDbPolyline,ByBlock,2228,,PEN(c:#ffd700),,,,
59350,-15550,0,p-parking-basic,,AcDbEntity:AcDbPolyline,ByBlock,2228,,PEN(c:#ffd700),,,,
59350,-18050,0,p-parking-basic,,AcDbEntity:AcDbPolyline,ByBlock,2228,,PEN(c:#ffd700),,,,
64350,-18050,0,p-parking-basic,,AcDbEntity:AcDbPolyline,ByBlock,2228,,PEN(c:#ffd700),,,,
